Price,Room_Id,Room_Type,City,Country,Room_Lat,Room_Long,Selection,Calc_Distance
125,28933301,Entire home/apt,New orleans,United states,29.91979449107486,-90.09354537645916,"New-orleans, United states",2.530928271940283
260,28936405,Private room,New orleans,United states,29.93391649199016,-90.08052473137276,"New-orleans, United states",1.3014822183574117
99,28937318,Entire home/apt,New orleans,United states,29.919566255603403,-90.10519570848996,"New-orleans, United states",2.9663876413451966
215,29009327,Entire home/apt,New orleans,United states,30.057298619584607,-89.95065628252051,"New-orleans, United states",10.304578735364437
350,29015681,Entire home/apt,New orleans,United states,29.96270318682418,-90.03124125944193,"New-orleans, United states",2.5424205418730246
290,29076942,Private room,New orleans,United states,29.952430855481015,-90.06956408602535,"New-orleans, United states",0.1509274105137967
499,29234907,Entire home/apt,New orleans,United states,29.930799079858346,-90.07509737599439,"New-orleans, United states",1.4164698328400278
237,29311880,Entire home/apt,New orleans,United states,29.94085183749078,-90.0762360611684,"New-orleans, United states",0.7598290835992737
99,29411319,Entire home/apt,New orleans,United states,29.962958538448333,-90.09468644179566,"New-orleans, United states",1.6113285619151823
400,29516885,Entire home/apt,New orleans,United states,29.974789608483587,-90.05983081897678,"New-orleans, United states",1.7825399019730104
129,29570455,Entire home/apt,New orleans,United states,29.946280535186663,-90.07411987493914,"New-orleans, United states",0.36512151909629753
69,29658577,Private room,New orleans,United states,29.968457819753212,-90.06655119126067,"New-orleans, United states",1.2381131173850735
750,29676662,Entire home/apt,New orleans,United states,29.951555397126505,-90.06844933795622,"New-orleans, United states",0.18763880116526294
300,29799526,Entire home/apt,New orleans,United states,29.95769374252741,-90.07620054941569,"New-orleans, United states",0.5364822365007859
89,29882908,Entire home/apt,New orleans,United states,29.966476156524024,-90.08688826062064,"New-orleans, United states",1.4066561642328843
91,29989295,Entire home/apt,New orleans,United states,29.966445241691808,-90.0425715678355,"New-orleans, United states",2.0333790028817194
